0,1,2,3
7574.0,7580.0,7575.0,7580.0
7580.0,7575.0,7580.0,7574.0
7575.0,7580.0,7574.0,7574.5
7580.0,7574.0,7574.5,7579.5
7574.0,7574.5,7579.5,7575.5
7574.5,7579.5,7575.5,7573.5
7579.5,7575.5,7573.5,7575.5
7575.5,7573.5,7575.5,7576.5
7573.5,7575.5,7576.5,7576.5
7575.5,7576.5,7576.5,7577.0
7576.5,7576.5,7577.0,7578.5
7576.5,7577.0,7578.5,7575.0
7577.0,7578.5,7575.0,7582.0
7578.5,7575.0,7582.0,7577.0
7575.0,7582.0,7577.0,7576.0
7582.0,7577.0,7576.0,7578.5
7577.0,7576.0,7578.5,7571.0
7576.0,7578.5,7571.0,7576.5
7578.5,7571.0,7576.5,7574.5
7571.0,7576.5,7574.5,7577.5
7576.5,7574.5,7577.5,7578.0
7574.5,7577.5,7578.0,7576.5
7577.5,7578.0,7576.5,7576.5
7578.0,7576.5,7576.5,7575.5
7576.5,7576.5,7575.5,7576.5
7576.5,7575.5,7576.5,7577.0
7575.5,7576.5,7577.0,7577.0
7576.5,7577.0,7577.0,7582.0
7577.0,7577.0,7582.0,7575.5
7577.0,7582.0,7575.5,7575.0
7582.0,7575.5,7575.0,7578.0
7575.5,7575.0,7578.0,7578.0
7575.0,7578.0,7578.0,7577.5
7578.0,7578.0,7577.5,7578.5
7578.0,7577.5,7578.5,7578.5
7577.5,7578.5,7578.5,7579.0
7578.5,7578.5,7579.0,7579.5
7578.5,7579.0,7579.5,7580.0
7579.0,7579.5,7580.0,7583.0
7579.5,7580.0,7583.0,7579.0
7580.0,7583.0,7579.0,7579.0
7583.0,7579.0,7579.0,7581.5
7579.0,7579.0,7581.5,7582.0
7579.0,7581.5,7582.0,7582.0
7581.5,7582.0,7582.0,7583.0
7582.0,7582.0,7583.0,7589.0
7582.0,7583.0,7589.0,7583.0
7583.0,7589.0,7583.0,7584.0
7589.0,7583.0,7584.0,7583.0
7583.0,7584.0,7583.0,7586.0
7584.0,7583.0,7586.0,7584.5
7583.0,7586.0,7584.5,7584.5
7586.0,7584.5,7584.5,7581.5
7584.5,7584.5,7581.5,7583.0
7584.5,7581.5,7583.0,7585.0
7581.5,7583.0,7585.0,7584.5
7583.0,7585.0,7584.5,7584.5
7585.0,7584.5,7584.5,7583.0
7584.5,7584.5,7583.0,7584.5
7584.5,7583.0,7584.5,7590.5
7583.0,7584.5,7590.5,7585.0
7584.5,7590.5,7585.0,7584.5
7590.5,7585.0,7584.5,7584.5
7585.0,7584.5,7584.5,7583.0
7584.5,7584.5,7583.0,7583.5
7584.5,7583.0,7583.5,7586.0
